# cards_source_v1.txt
# category | hanzi | pinyin | function | note
# Single source of truth for the Technical Chinese Datasheet Reading Deck (v1)

Conditions and Scope | 如果 | rúguǒ | conditional prerequisite | logical if, not temporal
Conditions and Scope | 当 | dāng | condition in effect | often state-based
Conditions and Scope | 仅当 | jǐn dāng | only if | strict scope limitation
Conditions and Scope | 在…时 | zài … shí | during / while | operational context
Conditions and Scope | 对于 | duìyú | with respect to | limits applicability
Conditions and Scope | 仅在 | jǐn zài | only in | hard scope restriction
Conditions and Scope | 在…情况下 | zài … qíngkuàng xià | under circumstances | scenario framing

Mandatory, Prohibited and Optional | 必须 | bìxū | mandatory requirement | violation invalidates behavior
Mandatory, Prohibited and Optional | 不得 | bùdé | explicitly forbidden | stronger than 不可以
Mandatory, Prohibited and Optional | 可以 | kěyǐ | permitted | no guarantee implied
Mandatory, Prohibited and Optional | 不需要 | bú xūyào | not required | optional step
Mandatory, Prohibited and Optional | 建议 | jiànyì | recommendation | non-binding
Mandatory, Prohibited and Optional | 应当 | yīngdāng | should | normative but weaker than 必须

Limits and Thresholds | 最大 | zuìdà | maximum limit | hard upper bound
Limits and Thresholds | 最小 | zuìxiǎo | minimum limit | hard lower bound
Limits and Thresholds | 不超过 | bú chāoguò | must not exceed | constraint language
Limits and Thresholds | 不小于 | bù xiǎoyú | must not be less than | lower bound constraint
Limits and Thresholds | 不高于 | bù gāo yú | must not be more than | upper bound constraint
Limits and Thresholds | 范围 | fànwéi | range | inclusive unless stated otherwise

Defaults and Initialization | 默认 | mòrèn | default value or state | applies at reset
Defaults and Initialization | 上电后 | shàngdiàn hòu | after power-on | initialization phase
Defaults and Initialization | 复位后 | fùwèi hòu | after reset | defined baseline
Defaults and Initialization | 初始 | chūshǐ | initial | startup condition

State, Mode and Configuration | 进入 | jìnrù | enter a state or mode | transition trigger
State, Mode and Configuration | 退出 | tuìchū | exit a state or mode | transition end
State, Mode and Configuration | 使能 | shǐnéng | enable functionality | activates behavior
State, Mode and Configuration | 禁止 | jìnzhǐ | disable functionality | suppresses behavior
State, Mode and Configuration | 保持 | bǎochí | remain in state | no transition
State, Mode and Configuration | 配置 | pèizhì | configure | setup action

Sequencing and Order | 在…之前 | zài … zhīqián | before | prerequisite ordering
Sequencing and Order | 在…之后 | zài … zhīhòu | after | postcondition
Sequencing and Order | 然后 | ránhòu | then | step sequencing
Sequencing and Order | 再 | zài | then / again | sequential continuation
Sequencing and Order | 完成后 | wánchéng hòu | after completion | barrier crossed

Causality and Consequence | 导致 | dǎozhì | causes | direct consequence
Causality and Consequence | 否则 | fǒuzé | otherwise | alternative outcome
Causality and Consequence | 从而 | cóng’ér | thereby | causal linkage
Causality and Consequence | 以便 | yǐbiàn | so that | intended outcome

Exceptions and Special Cases | 除非 | chúfēi | unless | exception to rule
Exceptions and Special Cases | 例外 | lìwài | exception | deviation case
Exceptions and Special Cases | 特殊情况 | tèshū qíngkuàng | special case | non-general behavior

Warnings and Notes | 注意 | zhùyì | attention required | risk signal
Warnings and Notes | 警告 | jǐnggào | warning | potential hazard
Warnings and Notes | 注 | zhù | note | supplemental information
Warnings and Notes | 提示 | tíshì | hint / reminder | low-severity note

Evaluation and Recommendation | 不推荐 | bú tuījiàn | not recommended | design advice
Evaluation and Recommendation | 可能 | kěnéng | possible | non-guarantee
Evaluation and Recommendation | 未定义 | wèi dìngyì | undefined behavior | unsafe to assume
Evaluation and Recommendation | 不保证 | bú bǎozhèng | not guaranteed | explicit non-commitment
Evaluation and Recommendation | 反模式 | fǎn móshì | anti-pattern | evaluative signal

Reference and Cross-Linking | 参见 | cānjiàn | see reference | cross-document link
Reference and Cross-Linking | 如下 | rúxià | as follows | forward reference
Reference and Cross-Linking | 如上 | rúshàng | as above | backward reference
